id_maleta,aeropuerto_origen,fecha_registro_utc	ventana,motivo
MAL-OMDB-000006488-001,OMDB,2026-06-09T20:02
	W0060,sin_ruta_en_grafo
	W0061,sin_ruta_en_grafo
MAL-OYSN-000005981-001,OYSN,2026-06-06T17:00
	W0030,sin_ruta_en_grafo
	W0031,sin_ruta_en_grafo
	W0032,sin_ruta_en_grafo
	W0033,sin_ruta_en_grafo
	W0034,maleta_vencida
	W0035,maleta_vencida
	W0036,maleta_vencida
	W0037,maleta_vencida
	W0038,maleta_vencida
	W0039,maleta_vencida
	W0040,maleta_vencida
	W0041,maleta_vencida
	W0042,maleta_vencida
	W0043,maleta_vencida
	W0044,maleta_vencida
	W0045,maleta_vencida
	W0046,maleta_vencida
	W0047,maleta_vencida
	W0048,maleta_vencida
	W0049,maleta_vencida
	W0050,maleta_vencida
	W0051,maleta_vencida
	W0052,maleta_vencida
	W0053,maleta_vencida
	W0054,maleta_vencida
	W0055,maleta_vencida
	W0056,maleta_vencida
	W0057,maleta_vencida
	W0058,maleta_vencida
	W0059,maleta_vencida
	W0060,maleta_vencida
	W0061,maleta_vencida
MAL-EKCH-000006727-001,EKCH,2026-06-09T18:47
	W0059,sin_ruta_en_grafo
	W0060,sin_ruta_en_grafo
	W0061,sin_ruta_en_grafo
MAL-OSDI-000007441-001,OSDI,2026-06-09T20:08
	W0060,sin_ruta_en_grafo
	W0061,sin_ruta_en_grafo
MAL-LOWW-000007013-001,LOWW,2026-06-06T14:25
	W0030,sin_ruta_en_grafo
	W0031,sin_ruta_en_grafo
	W0032,sin_ruta_en_grafo
	W0033,maleta_vencida
	W0034,maleta_vencida
	W0035,maleta_vencida
	W0036,maleta_vencida
	W0037,maleta_vencida
	W0038,maleta_vencida
	W0039,maleta_vencida
	W0040,maleta_vencida
	W0041,maleta_vencida
	W0042,maleta_vencida
	W0043,maleta_vencida
	W0044,maleta_vencida
	W0045,maleta_vencida
	W0046,maleta_vencida
	W0047,maleta_vencida
	W0048,maleta_vencida
	W0049,maleta_vencida
	W0050,maleta_vencida
	W0051,maleta_vencida
	W0052,maleta_vencida
