fila,replica,semilla,tamanioPoblacion,probCruce,probMutacion,torneoK,elites,pesoGreedySolomon,fitnessExp,maletasNoRuteadas,usoVuelos,usoAeropuertos,duracionHoras,tiempoMs
1,1,42,5,0.7,0.05,2,1,0.4,63548.948509,0,4.155870,5.159245,5423.383333,3312
1,2,43,5,0.7,0.05,2,1,0.4,63421.207747,0,4.139849,5.147526,5413.383333,2595
1,3,44,5,0.7,0.05,2,1,0.4,63564.176671,0,4.159158,5.161352,5424.366667,698
1,4,45,5,0.7,0.05,2,1,0.4,63489.195946,0,4.156127,5.158735,5417.433333,1022
1,5,46,5,0.7,0.05,2,1,0.4,63482.259703,0,4.150127,5.153966,5417.816667,2238
1,6,47,5,0.7,0.05,2,1,0.4,63532.020793,0,4.155458,5.158730,5421.783333,772
1,7,48,5,0.7,0.05,2,1,0.4,63405.425086,0,4.150221,5.154204,5410.100000,3080
1,8,49,5,0.7,0.05,2,1,0.4,63564.176671,0,4.159158,5.161352,5424.366667,560
1,9,50,5,0.7,0.05,2,1,0.4,63430.791068,0,4.146078,5.151879,5413.283333,1432
1,10,51,5,0.7,0.05,2,1,0.4,63542.065560,0,4.156381,5.158852,5422.683333,728
2,1,42,5,0.85,0.15,3,2,0.6,63212.622384,0,4.111336,5.125620,5397.566667,3441
2,2,43,5,0.85,0.15,3,2,0.6,63439.386619,0,4.143464,5.149256,5414.666667,1049
2,3,44,5,0.85,0.15,3,2,0.6,63572.484279,0,4.155891,5.159094,5425.750000,561
2,4,45,5,0.85,0.15,3,2,0.6,63472.715469,0,4.153023,5.156526,5416.316667,814
2,5,46,5,0.85,0.15,3,2,0.6,63057.279381,0,4.096103,5.114843,5384.633333,3558
2,6,47,5,0.85,0.15,3,2,0.6,63373.103460,0,4.146217,5.151719,5407.516667,1589
2,7,48,5,0.85,0.15,3,2,0.6,63432.272389,0,4.134216,5.142723,5415.533333,3990
2,8,49,5,0.85,0.15,3,2,0.6,63450.444518,0,4.149898,5.153880,5414.666667,621
2,9,50,5,0.85,0.15,3,2,0.6,63564.176671,0,4.159158,5.161352,5424.366667,547
2,10,51,5,0.85,0.15,3,2,0.6,63258.802039,0,4.116601,5.127534,5401.466667,3879
3,1,42,5,0.95,0.25,5,4,0.8,63551.655031,0,4.158811,5.161177,5423.166667,381
3,2,43,5,0.95,0.25,5,4,0.8,63489.036898,0,4.153440,5.156764,5417.883333,418
3,3,44,5,0.95,0.25,5,4,0.8,63503.472663,0,4.138779,5.143861,5422.083333,1322
3,4,45,5,0.95,0.25,5,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,208
3,5,46,5,0.95,0.25,5,4,0.8,63468.394809,0,4.156793,5.159268,5415.233333,572
3,6,47,5,0.95,0.25,5,4,0.8,63500.463322,0,4.156773,5.158857,5418.483333,287
3,7,48,5,0.95,0.25,5,4,0.8,63535.728988,0,4.155870,5.159192,5422.066667,296
3,8,49,5,0.95,0.25,5,4,0.8,63397.716583,0,4.127700,5.136683,5413.333333,1341
3,9,50,5,0.95,0.25,5,4,0.8,63566.639495,0,4.156773,5.158700,5425.116667,300
3,10,51,5,0.95,0.25,5,4,0.8,63247.121559,0,4.113276,5.127679,5400.616667,1358
4,1,42,10,0.7,0.05,3,2,0.8,63539.765425,0,4.159020,5.161412,5421.933333,1709
