fila,replica,semilla,nAnts,alpha,beta,rho,gamma,tauMax,fitnessExp,maletasNoRuteadas,usoVuelos,usoAeropuertos,duracionHoras,tiempoMs
1,1,42,8,0.5,1,0.05,0.01,10,60517.562711,0,4.481793,5.412103,5062.366667,4074
1,2,43,8,0.5,1,0.05,0.01,10,60342.349202,0,4.464767,5.402415,5047.516667,3626
1,3,44,8,0.5,1,0.05,0.01,10,60332.184385,0,4.441895,5.383789,5050.650000,3316
1,4,45,8,0.5,1,0.05,0.01,10,60471.462302,0,4.497406,5.430723,5054.333333,3111
1,5,46,8,0.5,1,0.05,0.01,10,60265.676598,0,4.482292,5.415218,5036.816667,3106
1,6,47,8,0.5,1,0.05,0.01,10,60542.198568,0,4.488019,5.423180,5063.100000,3119
1,7,48,8,0.5,1,0.05,0.01,10,60468.428410,0,4.466699,5.411396,5059.033333,2969
1,8,49,8,0.5,1,0.05,0.01,10,60410.768935,0,4.457520,5.397249,5055.600000,2981
1,9,50,8,0.5,1,0.05,0.01,10,60275.535542,0,4.455776,5.394093,5042.566667,2996
1,10,51,8,0.5,1,0.05,0.01,10,60192.916214,0,4.455445,5.389971,5034.750000,2994
2,1,42,8,0.5,2,0.15,0.05,25,60596.366716,0,4.472141,5.412726,5071.150000,2960
2,2,43,8,0.5,2,0.15,0.05,25,60243.948971,0,4.479085,5.414531,5035.033333,2950
2,3,44,8,0.5,2,0.15,0.05,25,60675.121851,0,4.469555,5.405400,5080.016667,2948
2,4,45,8,0.5,2,0.15,0.05,25,60412.623051,0,4.471699,5.412090,5052.883333,2986
2,5,46,8,0.5,2,0.15,0.05,25,60312.806324,0,4.442782,5.388524,5048.150000,2971
2,6,47,8,0.5,2,0.15,0.05,25,60072.225543,0,4.423623,5.371602,5027.700000,2957
2,7,48,8,0.5,2,0.15,0.05,25,60490.967209,0,4.487569,5.419898,5058.350000,2950
2,8,49,8,0.5,2,0.15,0.05,25,60197.113965,0,4.478513,5.415101,5030.350000,2950
2,9,50,8,0.5,2,0.15,0.05,25,60225.319712,0,4.457455,5.395198,5037.266667,2947
